,MRT_stationList,latitude,longitude
0,Kranji,1.42508698073648,103.762137459497
1,Marsiling,1.43252114855026,103.774074641403
2,Woodlands,1.43605761708128,103.787938777173
3,Admiralty,1.44058856161847,103.800990519771
4,Sembawang,1.44905082158502,103.820046140211
5,Canberra,1.44307664075699,103.829702590959
6,Yishun,1.42944308477331,103.835005047246
7,Khatib,1.41738337009565,103.832979908243
8,Woodlands North,1.44778217342648,103.7851355073
9,Woodlands South,1.42748811362716,103.792729941333
10,Springleaf,1.39758106126824,103.817856949947
11,Lentor,1.38550657972169,103.835743809669
12,Mayflower,1.37146318831015,103.836567766945
13,Tuas Link,1.34088242451105,103.636991425128
14,Tuas West Road,1.32998504653102,103.639616648771
15,Tuas Crescent,1.32102695598684,103.649078235627
16,Gul Circle,1.31947090075208,103.660530461345
17,Joo Koon,1.32768939690059,103.678240022629
18,Pioneer,1.33758701106708,103.697321608474
19,Boon Lay,1.33853090899411,103.705911300383
20,Lakeside,1.34425911493819,103.720949087456
21,Chinese Garden,1.34224494823931,103.732766601621
22,Jurong East,1.33329506563598,103.742153884191
23,Clementi,1.31511625277378,103.765191452888
24,Dover,1.31140529320963,103.778637841909
25,Bukit Batok,1.3490341085881,103.749566763857
26,Bukit Gombak,1.35866272149921,103.751913321513
27,Choa Chu Kang,1.38536316540225,103.744370779756
28,Yew Tee,1.3976916943313,103.747506785575
29,Yio Chu Kang,1.38168259989517,103.844991053696
30,Ang Mo Kio,1.36942855699191,103.849455226442
31,Serangoon,1.35063361526525,103.872771660431
32,Bartley,1.34250117805245,103.880177899184
33,Kovan,1.36017917065237,103.885064856353
34,Hougang,1.37129226620797,103.892380513029
35,Buangkok,1.38287001971672,103.893122569706
36,Sengkang,1.39169462601522,103.895484694279
37,Punggol,1.41492733388605,103.910166388177
38,Ubi,1.32997425973974,103.899226655439
39,Kaki Bukit,1.33496735995428,103.908459338046
40,Bedok North,1.33474211664091,103.91797832995
41,Bedok Reservoir,1.33660782955099,103.932234623286
42,Tampines West,1.34551530560119,103.938436971222
43,Tampines,1.34551530560119,103.938436971222
44,Tampines East,1.35619148271544,103.9546344625
45,Upper Changi,1.34173977444995,103.961472788634
46,Expo,1.33538252614956,103.962374747451
47,Eunos,1.31978354916088,103.903225807255
48,Kembangan,1.3210381335934,103.912947930851
49,Bedok,1.32040148729112,103.957183823478
50,Tanah Merah,1.32718729074675,103.946348600798
51,Changi Airport,1.35747897447692,103.98788356959
52,Simei,1.34319707851829,103.953377214378
53,Pasir Ris,1.37300805046319,103.949265083922
54,Hillview,1.36234486803558,103.767418254007
55,Beauty World,1.34165266284693,103.775437338299
56,King Albert Park,1.335893496278,103.783235863233
57,Sixth Avenue,1.33096058134451,103.796969279733
58,Tan Kah Kee,1.32639224146351,103.806548201692
59,Botanic Gardens,1.32238699517166,103.815385463093
60,Stevens,1.32006555750626,103.826024401924
61,Newton,1.3123189224097,103.837984594021
62,Little India,1.30724381608438,103.849841614124
63,Rochor,1.30385218527656,103.852769428884
64,Bugis,1.30046508509717,103.855706730933
65,Promenade,1.29399798636232,103.860350000188
66,Bayfront,1.28187378879209,103.859079764874
67,Downtown,1.27944638178916,103.852840829581
68,Telok Ayer,1.28206894769394,103.848648781083
69,Chinatown,1.28422391919085,103.845143798953
70,Fort Canning,1.29248194822996,103.844331362465
71,Bencoolen,1.29891843369422,103.850353762717
72,Jalan Besar,1.3051713878069,103.855295713435
73,Bendemeer,1.31367252847691,103.862977620945
74,Geylang Bahru,1.32130110228321,103.871622627142
75,Mattar,1.32687671501334,103.883247509542
76,MacPherson,1.32615024457361,103.889298600376
77,Buona Vista,1.3072237082044,103.790253514502
78,Commonwealth,1.30250199924325,103.798228523336
79,Queenstown,1.29455085184931,103.806077155982
80,Redhill,1.28963453412887,103.81674097205
81,Tiong Bahru,1.28610253588403,103.827445112691
82,Outram Park,1.27973970679335,103.839513521005
83,Tanjong Pagar,1.27660353980916,103.845961652831
84,Raffles Place,1.28393326207164,103.851463066756
85,City Hall,1.29318673733671,103.85241376747
86,Lavender,1.30737781747063,103.862767633888
87,Kallang,1.31148890998818,103.871386541754
88,Aljunied,1.3164326118157,103.882906044385
89,Paya Lebar,1.3172473854035,103.892260753884
90,HarbourFront,1.26538938374901,103.821530157095
91,Clarke Quay,1.28871023151727,103.846610945684
92,Dhoby Ghaut,1.29865043818251,103.846156122354
93,Farrer Park,1.31190557325774,103.853477716509
94,Boon Keng,1.31959679168634,103.861750715496
95,Potong Pasir,1.33128580390245,103.86902783214
96,Woodleigh,1.33919004519388,103.87081830915
97,Bishan,1.35131580146658,103.84914026532
98,Braddell,1.3404690010277,103.846799083148
99,Toa Payoh,1.33259672794159,103.847577286075
100,Novena,1.32044079120154,103.843825618748
101,Orchard,1.30242224836722,103.823868523249
102,Somerset,1.30026416739006,103.839085753124
103,Marina Bay,1.27642735476716,103.854597776754
104,Marina South Pier,1.27102703612006,103.862447515736
105,Bright Hill,1.36384676605097,103.833899206658
106,Upper Thomson,1.35441643365401,103.832898468504
107,Caldecott,1.33724561271722,103.840161782075
108,Napier,1.30678223364785,103.818956796815
109,Orchard Boulevard,1.30362307278619,103.82365038919
110,Great World,1.2933164567796,103.833906630914
111,Havelock,1.28850523975311,103.833585838226
112,Maxwell,1.28053329842878,103.843883670633
113,Shenton Way,1.2777168283425,103.850367596067
114,Gardens by the Bay,1.27848725876303,103.867454664421
115,Telok Blangah,1.27070647772509,103.809761611219
116,Labrador Park,1.27225417749656,103.802631578766
117,Pasir Panjang,1.27621352233766,103.791350313288
118,Haw Par Villa,1.28260725045254,103.781795517386
119,Kent Ridge,1.29353698622126,103.784572366867
120,one-north,1.29968953488969,103.787412789536
121,Holland Village,1.3121924408633,103.796411010764
122,Farrer Road,1.31743915158967,103.807379214161
123,Marymount,1.348707263451,103.839423132332
124,Lorong Chuan,1.35163927757418,103.863945738773
125,Tai Seng,1.33514564170352,103.888336109832
126,Dakota,1.30854798388121,103.889064718377
127,Mountbatten,1.30620190525331,103.882528081052
128,Stadium,1.3028124684707,103.875337711089
129,Nicoll Highway,1.29956843029404,103.863977721184
130,Esplanade,1.2936577245386,103.855081226245
131,Bras Basah,1.29679449596126,103.850948470449
