Property Type,Price,Area_sqm,Corner Unit,Renovated
HDB Executive,938000,146,0,0
HDB 3 Rooms,362000,65,0,0
HDB 4 Rooms,440000,103,0,1
HDB 4 Rooms,580000,93,1,0
HDB 3 Rooms,330000,74,0,1
HDB 3 Rooms,300000,67,0,0
HDB 5 Rooms,450000,110,1,0
HDB 5 Rooms,418000,110,1,0
HDB 3 Rooms,275000,66,0,0
HDB 5 Rooms,999999,110,0,1
HDB 4 Rooms,498800,92,1,1
HDB 3 Rooms,260000,67,0,1
HDB 4 Rooms,578000,102,1,1
HDB 3 Rooms,320000,67,0,0
HDB 5 Rooms,495000,123,1,0
HDB 4 Rooms,420000,93,1,1
HDB 4 Rooms,450000,93,0,0
HDB 4 Rooms,300000,102,0,0
HDB 5 Rooms,530000,118,1,0
HDB 4 Rooms,433000,93,1,1
HDB 5 Rooms,395000,129,0,0
HDB 4 Rooms,435000,91,0,0
HDB 5 Rooms,520000,124,1,0
HDB 5 Rooms,420000,121,1,0
HDB 5 Rooms,768888,110,0,0
HDB 4 Rooms,630000,93,1,0
HDB 3 Rooms,318000,67,0,0
HDB 3 Rooms,265000,74,0,0
HDB 5 Rooms,550000,126,1,1
HDB 3 Rooms,430000,74,0,0
HDB 4 Rooms,570000,91,1,1
HDB 4 Rooms,720000,86,1,0
HDB 4 Rooms,380000,104,1,0
HDB 4 Rooms,450000,93,0,0
HDB 4 Rooms,628888,92,1,1
HDB Executive,530000,144,0,0
HDB 4 Rooms,495000,93,0,0
HDB 5 Rooms,330000,115,1,0
HDB 5 Rooms,515000,113,0,1
HDB Executive,900000,151,0,0
HDB 5 Rooms,500000,128,0,1
HDB 3 Rooms,270000,64,0,1
HDB 5 Rooms,460000,122,0,0
HDB 5 Rooms,407888,110,1,1
HDB 5 Rooms,550000,112,0,0
HDB 5 Rooms,440000,134,0,1
HDB 4 Rooms,460000,93,1,1
HDB 5 Rooms,480000,133,1,0
HDB 4 Rooms,300000,84,0,0
HDB 3 Rooms,299000,60,1,0
HDB 4 Rooms,420000,104,0,0
HDB 4 Rooms,470000,94,1,0
HDB 4 Rooms,580000,105,0,0
HDB 5 Rooms,550000,113,1,1
HDB 4 Rooms,405000,91,0,0
HDB 5 Rooms,500000,111,0,0
HDB 4 Rooms,488000,95,1,0
HDB Jumbo,888000,148,0,1
HDB 5 Rooms,750000,143,1,1
HDB 4 Rooms,568000,87,0,0
HDB 5 Rooms,580000,127,1,0
HDB 4 Rooms,468000,92,0,0
HDB 5 Rooms,450000,110,1,0
HDB 4 Rooms,580000,93,1,1
HDB 2 Rooms,199000,43,0,0
HDB Executive,660000,133,1,1
HDB 5 Rooms,565000,132,1,0
HDB Executive,530000,128,0,0
HDB 5 Rooms,790000,122,1,1
HDB Executive,700000,146,0,0
HDB 3 Rooms,230000,56,0,0
HDB Executive,920000,149,0,0
HDB 5 Rooms,698000,127,1,0
HDB 5 Rooms,888000,122,1,1
HDB 4 Rooms,425000,92,0,1
HDB 3 Rooms,338001,70,0,1
HDB 3 Rooms,278000,64,0,1
HDB 4 Rooms,400000,93,1,0
HDB Executive,680000,170,0,1
HDB 5 Rooms,528000,124,1,0
HDB 4 Rooms,370000,102,1,1
HDB 4 Rooms,680000,91,0,0
HDB 4 Rooms,410000,93,1,0
HDB 5 Rooms,598000,120,0,0
HDB 3 Rooms,248000,74,0,0
HDB 4 Rooms,360000,111,0,1
HDB 4 Rooms,592888,104,0,1
HDB 4 Rooms,468000,91,1,1
HDB 5 Rooms,490000,121,0,0
HDB 4 Rooms,460000,104,0,1
HDB 4 Rooms,310000,90,0,1
HDB 3 Rooms,335000,74,1,0
HDB 5 Rooms,560000,120,0,1
HDB 3 Rooms,350000,65,0,1
HDB 3 Rooms,488000,126,1,0
HDB 5 Rooms,837777,110,0,1
HDB 5 Rooms,560000,122,1,1
HDB 4 Rooms,435000,93,1,1
HDB 5 Rooms,838000,135,1,1
HDB 5 Rooms,850000,108,0,1
HDB 5 Rooms,548000,120,1,1
HDB 5 Rooms,528000,110,0,1
HDB 5 Rooms,838000,134,1,0
HDB 4 Rooms,380000,103,0,0
HDB Executive,700000,150,1,0
HDB Executive,648000,163,1,1
HDB 5 Rooms,550000,124,0,0
HDB 4 Rooms,460000,100,1,0
HDB 3 Rooms,400000,70,0,1
HDB 5 Rooms,838000,134,1,0
HDB 5 Rooms,580000,117,0,0
HDB 4 Rooms,485000,100,0,0
HDB 5 Rooms,610000,112,0,0
HDB Executive,545000,147,1,0
HDB Executive,548000,130,0,0
HDB 4 Rooms,388000,108,0,0
HDB 5 Rooms,885000,110,1,0
HDB 4 Rooms,479000,92,1,1
HDB 4 Rooms,980000,91,0,1
HDB 3 Rooms,293000,68,0,1
HDB 5 Rooms,738000,137,1,0
HDB 5 Rooms,528888,113,1,1
HDB 5 Rooms,620000,113,1,1
HDB 4 Rooms,360000,92,1,0
HDB 4 Rooms,499999,92,1,1
HDB 3 Rooms,225000,59,0,0
HDB 4 Rooms,430000,113,0,0
HDB 4 Rooms,430000,92,1,1
HDB 5 Rooms,348000,110,1,1
HDB 5 Rooms,468000,115,1,1
HDB 4 Rooms,368000,84,0,0
HDB 3 Rooms,300000,67,0,0
HDB Executive,955000,187,0,0
HDB 4 Rooms,538000,93,1,0
HDB 5 Rooms,399000,123,0,0
HDB 5 Rooms,725000,120,1,0
HDB 3 Rooms,399000,67,0,0
HDB Executive,560000,125,0,1
HDB 4 Rooms,308000,107,0,0
HDB 5 Rooms,518000,123,1,1
HDB 5 Rooms,430000,110,0,1
HDB 4 Rooms,630000,103,0,1
HDB 4 Rooms,480000,92,0,1
HDB 4 Rooms,720000,106,1,1
HDB 4 Rooms,520000,92,1,1
HDB 4 Rooms,440000,89,0,1
HDB 3 Rooms,275000,60,0,0
HDB 4 Rooms,490000,96,0,0
HDB 5 Rooms,480000,119,1,0
HDB Executive,770000,146,0,0
HDB 3 Rooms,265000,74,0,0
HDB 4 Rooms,508000,92,0,1
HDB 4 Rooms,330000,103,1,0
HDB 5 Rooms,498000,117,0,1
HDB 3 Rooms,330000,60,0,1
HDB 4 Rooms,500000,93,1,1
HDB 5 Rooms,438000,124,1,1
HDB 5 Rooms,469000,121,0,0
HDB 3 Rooms,260000,67,0,1
HDB 4 Rooms,385000,93,0,1
HDB 5 Rooms,420000,112,0,0
HDB 3 Rooms,570000,60,0,1
HDB 4 Rooms,380000,91,1,0
HDB 3 Rooms,320000,82,0,0
HDB Executive,810000,146,0,0
HDB 4 Rooms,390000,92,1,0
HDB 5 Rooms,608000,123,0,0
HDB 5 Rooms,685000,112,1,1
HDB 3 Rooms,380000,65,1,1
HDB 4 Rooms,450000,92,1,1
HDB 4 Rooms,395000,94,0,1
HDB 5 Rooms,600000,121,1,0
HDB 4 Rooms,350000,106,1,0
HDB 5 Rooms,480000,127,1,0
HDB 4 Rooms,433000,93,1,1
HDB 5 Rooms,450000,110,1,0
HDB Executive,740000,149,1,0
HDB 3 Rooms,240000,67,0,0
HDB 4 Rooms,538888,92,1,1
HDB 4 Rooms,608500,86,1,1
HDB Executive,618000,147,1,1
HDB 4 Rooms,950000,127,0,0
HDB 4 Rooms,360000,92,0,0
HDB 4 Rooms,470000,91,1,0
HDB 5 Rooms,645000,112,1,1
HDB 4 Rooms,480000,112,0,0
HDB 5 Rooms,878000,110,1,0
HDB 4 Rooms,390000,92,1,0
HDB 5 Rooms,395000,129,0,0
HDB 5 Rooms,600000,121,1,0
HDB 4 Rooms,720000,95,1,1
HDB 5 Rooms,630000,118,1,0
HDB 5 Rooms,498000,117,0,1
HDB 3 Rooms,280000,60,0,1
HDB 3 Rooms,260000,67,0,1
HDB 4 Rooms,578000,102,1,1
HDB 5 Rooms,495000,123,1,0
HDB Executive,628000,150,0,1
HDB 5 Rooms,730000,117,1,1
HDB 3 Rooms,290000,67,0,0
HDB 5 Rooms,440000,122,1,0
HDB 4 Rooms,385000,93,0,1
HDB 4 Rooms,420000,101,1,1
HDB 2 Rooms,230000,56,0,0
HDB 4 Rooms,720000,96,0,0
HDB 3 Rooms,295000,67,0,1
HDB 4 Rooms,488000,93,1,1
HDB 3 Rooms,450000,67,1,1
HDB 4 Rooms,460000,104,0,0
HDB 5 Rooms,499000,138,0,0
HDB 4 Rooms,450000,97,0,1
HDB 4 Rooms,588000,93,1,1
HDB 5 Rooms,480000,110,1,0
HDB 4 Rooms,438000,103,0,0
HDB 3 Rooms,340000,65,0,0
HDB 3 Rooms,250000,67,0,0
HDB 4 Rooms,326800,92,0,1
HDB 5 Rooms,820000,110,1,0
HDB Executive,550000,144,1,1
HDB 3 Rooms,380000,74,0,0
HDB 4 Rooms,340000,101,1,0
HDB Jumbo,600000,129,0,0
HDB 5 Rooms,840000,110,1,1
HDB Executive,635000,151,0,1
HDB 4 Rooms,768000,87,1,1
HDB 5 Rooms,490000,110,1,1
HDB 4 Rooms,620000,92,0,0
HDB 4 Rooms,400000,81,0,0
HDB 4 Rooms,500000,91,1,1
HDB 4 Rooms,438000,92,0,1
HDB 4 Rooms,560000,97,1,1
HDB 3 Rooms,270000,63,1,1
HDB 4 Rooms,430000,103,0,0
HDB 4 Rooms,375000,109,0,1
HDB Executive,635000,140,0,0
HDB Executive,688000,141,1,0
HDB 5 Rooms,625000,123,1,0
HDB 5 Rooms,485000,127,1,0
HDB 3 Rooms,285000,67,1,0
HDB 4 Rooms,300000,84,0,0
HDB 4 Rooms,530000,96,1,1
HDB 4 Rooms,650000,92,1,1
HDB 5 Rooms,888000,122,1,1
HDB 4 Rooms,660000,103,0,1
HDB 4 Rooms,368000,92,0,0
HDB 4 Rooms,362888,101,0,0
HDB 3 Rooms,260000,69,0,0
HDB 5 Rooms,438000,115,1,1
HDB 5 Rooms,420000,110,1,1
HDB 3 Rooms,300000,65,0,1
HDB 4 Rooms,369999,100,0,0
HDB 4 Rooms,338000,90,0,0
HDB 3 Rooms,370000,68,0,0
HDB 5 Rooms,590000,113,0,0
HDB 4 Rooms,460000,104,0,0
HDB 4 Rooms,420000,91,1,0
HDB 5 Rooms,480000,124,1,1
HDB Executive,900000,150,0,0
HDB 4 Rooms,318000,105,1,0
HDB 5 Rooms,488000,110,0,1
HDB 3 Rooms,310000,67,0,1
HDB 4 Rooms,560000,84,0,0
HDB Executive,650000,143,0,1
HDB 5 Rooms,400000,122,1,0
HDB 5 Rooms,435688,125,1,1
HDB 5 Rooms,488000,110,0,1
HDB 5 Rooms,668888,113,0,1
HDB Executive,618000,133,0,0
HDB 5 Rooms,980000,110,0,1
HDB 4 Rooms,405000,84,1,0
HDB 5 Rooms,390000,110,1,1
HDB 3 Rooms,325000,74,0,0
HDB 5 Rooms,520000,122,1,1
HDB 4 Rooms,488000,103,0,0
HDB 4 Rooms,303888,84,0,1
HDB 4 Rooms,428000,90,0,0
HDB 4 Rooms,520000,105,1,1
HDB 4 Rooms,368000,84,0,0
HDB 4 Rooms,440000,94,1,1
HDB 5 Rooms,640000,120,1,1
HDB 5 Rooms,690000,112,0,1
HDB 4 Rooms,355000,104,1,1
HDB 3 Rooms,280000,60,0,1
HDB 3 Rooms,330000,65,0,1
HDB 5 Rooms,528888,113,1,1
HDB 4 Rooms,550000,93,0,0
HDB 4 Rooms,568000,113,1,1
HDB 2 Rooms,290000,44,0,1
HDB 4 Rooms,410000,92,1,1
HDB 3 Rooms,228000,56,1,1
HDB 5 Rooms,770000,120,1,1
HDB 4 Rooms,448000,104,0,1
HDB 4 Rooms,418000,90,1,1
HDB 3 Rooms,238000,59,0,0
HDB 4 Rooms,535000,84,0,0
HDB 5 Rooms,550000,112,0,0
HDB 5 Rooms,582000,113,1,1
HDB 5 Rooms,490000,123,0,0
HDB 5 Rooms,420000,112,0,0
HDB 4 Rooms,428000,103,0,0
HDB 3 Rooms,330000,68,0,0
HDB 3 Rooms,300000,67,0,0
HDB 4 Rooms,399000,104,0,0
HDB 3 Rooms,350000,68,0,0
HDB 4 Rooms,700000,90,0,0
HDB 5 Rooms,610000,111,1,1
HDB 4 Rooms,360000,90,0,0
HDB 5 Rooms,630000,115,0,0
HDB 4 Rooms,488000,96,0,0
HDB 3 Rooms,390000,68,0,1
HDB 4 Rooms,800000,91,0,1
HDB 4 Rooms,499000,93,0,1
HDB 4 Rooms,420000,92,1,1
HDB 4 Rooms,368000,93,1,0
HDB 4 Rooms,520000,90,0,0
HDB 3 Rooms,258000,76,0,0
HDB 4 Rooms,525000,93,1,1
HDB 4 Rooms,430000,93,0,1
HDB 5 Rooms,488000,127,1,0
HDB 4 Rooms,580000,92,1,0
HDB 5 Rooms,980000,110,0,0
HDB 5 Rooms,765000,121,0,1
HDB 4 Rooms,780000,100,0,0
HDB 3 Rooms,380000,67,0,0
HDB 3 Rooms,330000,74,0,1
HDB 5 Rooms,550000,115,1,1
HDB Executive,695000,148,0,1
HDB 3 Rooms,288000,60,0,0
HDB 4 Rooms,360000,89,0,0
HDB 3 Rooms,460000,65,0,0
HDB 4 Rooms,710000,87,1,1
HDB 5 Rooms,518000,112,1,1
HDB 5 Rooms,499000,112,1,1
HDB 3 Rooms,492000,79,1,0
HDB 5 Rooms,728000,105,1,1
HDB 4 Rooms,368000,83,0,0
HDB 5 Rooms,630000,115,0,0
HDB 3 Rooms,258000,67,0,0
HDB 4 Rooms,460000,92,1,0
HDB Executive,565000,139,1,1
HDB 4 Rooms,425000,104,0,0
HDB Executive,638000,148,0,0
HDB 3 Rooms,513000,62,1,0
HDB 5 Rooms,490000,118,0,0
HDB 4 Rooms,430000,104,0,0
HDB 5 Rooms,598000,118,1,0
HDB 5 Rooms,598000,123,0,1
HDB 5 Rooms,498000,122,0,0
HDB 4 Rooms,398000,106,0,0
HDB 5 Rooms,580000,117,0,0
HDB 5 Rooms,510000,133,1,1
HDB 5 Rooms,490000,110,1,1
HDB 4 Rooms,436888,92,0,0
HDB 3 Rooms,915000,87,1,1
HDB 4 Rooms,395000,84,0,1
HDB 4 Rooms,498000,91,0,1
HDB 4 Rooms,620000,104,0,0
HDB Jumbo,888000,148,0,1
HDB 5 Rooms,550000,113,1,1
HDB 4 Rooms,600000,104,1,1
HDB 5 Rooms,475000,123,1,0
HDB 4 Rooms,398000,103,1,1
HDB 5 Rooms,585000,120,1,1
HDB 4 Rooms,336800,102,1,0
HDB 5 Rooms,1135000,105,1,1
HDB 3 Rooms,280000,67,0,1
HDB 4 Rooms,660000,110,1,1
HDB 4 Rooms,592888,104,0,1
HDB 3 Rooms,288000,68,0,1
HDB 4 Rooms,488000,104,1,1
HDB 5 Rooms,560000,132,0,1
HDB Executive,880000,161,1,0
HDB 3 Rooms,260000,56,0,0
HDB 4 Rooms,438000,106,0,0
HDB 5 Rooms,525000,123,1,1
HDB 4 Rooms,370000,91,0,1
HDB 4 Rooms,568000,93,1,1
HDB 3 Rooms,390000,69,0,0
HDB 3 Rooms,365000,65,0,1
HDB 5 Rooms,900000,136,1,0
HDB 4 Rooms,360000,84,1,0
HDB Executive,750000,146,0,1
HDB 3 Rooms,280000,68,0,1
HDB 5 Rooms,565000,132,1,0
HDB Executive,800000,150,0,1
HDB Executive,868000,146,0,0
HDB 3 Rooms,300000,66,1,1
HDB 4 Rooms,399000,103,1,0
HDB 5 Rooms,500000,112,1,1
HDB 5 Rooms,550000,120,1,0
HDB 5 Rooms,355000,115,1,0
HDB 3 Rooms,260000,60,0,0
HDB 3 Rooms,350000,67,1,0
HDB 5 Rooms,599688,120,1,1
HDB 4 Rooms,448888,92,0,1
HDB 4 Rooms,439000,87,0,1
HDB 4 Rooms,630000,83,1,0
HDB 5 Rooms,488888,136,0,0
HDB 3 Rooms,388000,68,0,1
HDB Executive,800000,146,0,0
HDB 3 Rooms,260000,64,0,1
HDB 5 Rooms,590000,112,1,1
HDB Executive,630000,143,1,0
HDB 3 Rooms,750000,65,1,0
HDB 5 Rooms,598000,119,0,0
HDB 3 Rooms,340000,60,0,0
HDB 4 Rooms,360000,102,0,0
HDB 5 Rooms,465000,122,1,1
HDB 4 Rooms,470000,97,0,1
HDB 5 Rooms,720000,130,0,1
HDB 5 Rooms,499999,118,1,1
HDB 4 Rooms,585000,86,0,1
HDB 5 Rooms,888000,122,1,1
HDB 4 Rooms,500000,92,1,1
HDB 4 Rooms,348000,96,0,1
HDB 5 Rooms,399000,120,0,0
HDB 4 Rooms,430000,92,0,0
HDB Executive,559000,149,0,0
HDB 3 Rooms,298888,73,0,1
HDB 4 Rooms,330000,105,0,0
HDB 5 Rooms,490000,122,1,1
HDB 5 Rooms,480000,115,1,0
HDB 5 Rooms,500000,110,1,1
HDB 4 Rooms,398000,93,1,1
HDB 3 Rooms,278000,64,0,1
HDB 5 Rooms,588000,121,1,0
HDB 4 Rooms,499000,90,1,0
HDB 4 Rooms,610000,94,1,1
HDB 5 Rooms,388000,120,1,0
HDB 4 Rooms,388000,108,0,0
HDB 4 Rooms,465000,104,1,1
HDB 4 Rooms,435000,93,1,1
HDB 3 Rooms,290000,60,1,1
HDB 5 Rooms,555000,126,1,1
HDB 5 Rooms,470000,127,1,1
HDB 5 Rooms,575000,113,0,1
HDB 4 Rooms,458000,84,0,0
HDB Executive,590000,131,1,0
HDB 5 Rooms,450000,115,1,1
HDB 4 Rooms,318000,105,1,0
HDB 5 Rooms,565000,122,1,1
HDB 4 Rooms,410000,109,1,1
HDB 4 Rooms,450000,92,0,0
HDB 4 Rooms,450000,97,1,1
HDB 5 Rooms,1000000,123,1,1
HDB 3 Rooms,280000,68,0,1
HDB 5 Rooms,500000,116,1,0
HDB 5 Rooms,400000,122,1,0
HDB 3 Rooms,318000,67,1,0
HDB 4 Rooms,478000,95,1,1
HDB 5 Rooms,670000,122,0,0
HDB 3 Rooms,385000,76,1,0
HDB 5 Rooms,570000,111,1,0
HDB 5 Rooms,860000,109,1,1
HDB 5 Rooms,819000,142,0,1
HDB 5 Rooms,480000,124,1,1
HDB 5 Rooms,688000,112,1,1
HDB 5 Rooms,900000,110,1,0
HDB 5 Rooms,549999,132,1,1
HDB 4 Rooms,399000,84,0,1
HDB 3 Rooms,348000,74,0,0
HDB 5 Rooms,340000,110,1,0
HDB 5 Rooms,560000,132,0,1
HDB 4 Rooms,630000,91,0,1
HDB 3 Rooms,295000,62,0,0
HDB 4 Rooms,428000,103,0,0
HDB 3 Rooms,328000,75,1,1
HDB 3 Rooms,518888,62,1,1
HDB 5 Rooms,470000,110,1,1
HDB 4 Rooms,525000,93,1,1
HDB 4 Rooms,480000,75,0,1
HDB 4 Rooms,1120000,92,1,1
HDB 5 Rooms,500000,125,0,0
HDB 4 Rooms,799888,82,0,1
HDB 4 Rooms,348000,84,0,1
HDB 5 Rooms,600000,122,0,0
HDB 3 Rooms,350000,75,0,1
HDB Executive,615000,148,0,0
HDB Executive,698000,144,1,0
HDB Executive,928000,146,0,1
HDB 4 Rooms,900000,84,0,1
HDB 3 Rooms,518000,84,0,1
HDB 3 Rooms,330000,74,0,1
HDB 3 Rooms,338888,74,0,0
HDB 5 Rooms,680000,121,1,0
HDB 5 Rooms,498000,122,1,0
HDB 4 Rooms,449999,97,1,1
HDB 3 Rooms,400000,69,0,1
HDB 5 Rooms,450000,120,0,0
HDB 5 Rooms,550000,125,1,0
HDB Executive,529000,139,1,0
HDB 5 Rooms,799000,117,0,0
HDB Executive,630000,149,0,1
HDB 4 Rooms,340000,98,1,0
HDB 4 Rooms,510000,93,1,0
HDB Executive,578888,137,1,0
HDB 3 Rooms,513000,62,1,0
HDB 5 Rooms,899999,114,1,1
HDB 4 Rooms,528000,93,1,0
HDB 4 Rooms,498000,108,1,0
HDB 4 Rooms,680000,101,1,1
HDB 4 Rooms,399999,91,1,0
HDB 3 Rooms,368888,67,0,1
HDB 5 Rooms,598000,123,0,1
HDB 3 Rooms,298000,67,0,0
HDB 4 Rooms,520000,82,0,0
HDB 4 Rooms,560000,92,1,1
HDB 3 Rooms,278000,68,0,0
HDB 4 Rooms,330000,103,1,0
HDB 5 Rooms,628000,112,1,1
HDB 5 Rooms,690000,112,0,1
HDB 4 Rooms,380000,93,1,0
HDB Executive,618000,147,1,1
HDB 3 Rooms,288888,73,1,1
HDB 4 Rooms,680000,101,1,1
HDB 4 Rooms,455000,93,1,1
HDB 4 Rooms,600888,93,1,1
HDB Executive,630000,149,0,1
HDB 4 Rooms,436888,92,0,0
HDB Executive,650000,149,0,1
HDB 4 Rooms,395000,84,0,1
HDB 4 Rooms,479000,92,1,0
HDB 4 Rooms,430000,92,0,0
HDB 5 Rooms,650000,120,0,0
HDB 3 Rooms,340000,68,1,0
HDB 4 Rooms,728888,97,0,0
HDB 3 Rooms,513000,62,1,0
HDB 4 Rooms,610000,94,1,1
HDB 5 Rooms,550000,120,1,0
HDB 3 Rooms,398000,74,0,1
HDB 4 Rooms,374000,100,0,0
HDB 4 Rooms,699888,85,0,0
HDB 5 Rooms,830000,119,0,0
HDB Executive,480000,145,0,0
HDB 5 Rooms,518000,111,1,1
HDB 4 Rooms,560000,93,1,1
HDB 5 Rooms,450000,123,0,0
HDB 4 Rooms,367000,101,0,0
HDB 3 Rooms,340000,67,0,0
HDB 5 Rooms,590000,112,1,1
HDB 4 Rooms,688000,95,1,0
HDB 4 Rooms,680000,87,1,1
HDB 5 Rooms,570000,113,0,0
HDB 4 Rooms,500000,96,1,1
HDB 5 Rooms,560000,121,0,1
HDB 5 Rooms,708000,112,1,1
HDB 3 Rooms,345000,74,0,1
HDB 5 Rooms,468000,112,0,1
HDB 4 Rooms,499999,87,1,1
HDB 4 Rooms,570000,93,0,1
HDB 5 Rooms,450000,115,1,1
HDB 3 Rooms,308000,67,0,1
HDB 5 Rooms,600000,123,1,1
HDB 5 Rooms,1000000,123,1,1
HDB 5 Rooms,400000,122,1,0
HDB 5 Rooms,799000,105,0,1
HDB 3 Rooms,320000,64,0,0
HDB 5 Rooms,630000,118,0,0
HDB 4 Rooms,448000,103,1,0
HDB 3 Rooms,300000,84,0,1
HDB 5 Rooms,459000,110,1,1
HDB 5 Rooms,618000,123,1,1
HDB 5 Rooms,469500,129,0,1
HDB 5 Rooms,490000,132,1,0
HDB Executive,590000,142,1,1
HDB 5 Rooms,545000,117,0,0
HDB 5 Rooms,618888,117,1,1
HDB 5 Rooms,405000,110,1,1
HDB 5 Rooms,748000,112,1,1
HDB 4 Rooms,479000,92,1,1
HDB 4 Rooms,450000,106,0,1
HDB 5 Rooms,918888,112,0,0
HDB 4 Rooms,410000,92,1,1
HDB 4 Rooms,735000,87,0,1
HDB 3 Rooms,440000,72,1,1
HDB 3 Rooms,378000,65,0,1
HDB 3 Rooms,325000,74,0,0
HDB Executive,669000,146,0,0
HDB 3 Rooms,290000,60,1,1
HDB 5 Rooms,400000,118,0,0
HDB 5 Rooms,498000,121,1,0
HDB 4 Rooms,485000,92,1,1
HDB 4 Rooms,535000,84,0,0
HDB 4 Rooms,750000,90,1,0
HDB 3 Rooms,658000,88,0,0
HDB Executive,730000,144,0,0
HDB 4 Rooms,368000,84,0,0
HDB Executive,548000,130,0,0
HDB 5 Rooms,456888,135,1,1
HDB 5 Rooms,499000,110,1,1
HDB 4 Rooms,379000,92,0,1
HDB 4 Rooms,350000,89,0,0
HDB 4 Rooms,592888,104,0,1
HDB 4 Rooms,390000,88,0,0
HDB 4 Rooms,435000,93,1,1
HDB Executive,610000,147,1,0
HDB 5 Rooms,400000,110,1,1
HDB 4 Rooms,660000,103,0,1
HDB 5 Rooms,980000,110,0,1
HDB 4 Rooms,460000,100,0,0
HDB 4 Rooms,680000,91,0,0
HDB 5 Rooms,405000,110,1,1
HDB 5 Rooms,455000,122,1,1
HDB Executive,675000,148,1,0
HDB 5 Rooms,395000,133,0,0
HDB 5 Rooms,462000,112,1,0
HDB 3 Rooms,279000,67,0,1
HDB 5 Rooms,638888,113,1,0
HDB Executive,720000,146,0,0
HDB 5 Rooms,858000,112,1,1
HDB 4 Rooms,320000,85,1,1
HDB 5 Rooms,508000,122,0,0
HDB 4 Rooms,360000,104,0,1
HDB 4 Rooms,343000,103,1,0
HDB 5 Rooms,758000,105,1,0
HDB 4 Rooms,500000,96,1,1
HDB Executive,868000,146,0,1
HDB 5 Rooms,850000,112,0,1
HDB 5 Rooms,570000,113,0,0
HDB Executive,628000,156,1,1
HDB 2 Rooms,275000,47,0,1
HDB 5 Rooms,728000,121,1,1
HDB 4 Rooms,530000,93,0,0
HDB 3 Rooms,280000,73,1,0
HDB 3 Rooms,485000,60,0,1
HDB 4 Rooms,340000,108,0,0
HDB 5 Rooms,460000,122,0,1
HDB 3 Rooms,300000,67,0,0
HDB 4 Rooms,818888,91,1,1
HDB 4 Rooms,448000,99,0,0
